,SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE_x,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT_x,AMT_ANNUITY_x,AMT_GOODS_PRICE_x,NAME_TYPE_SUITE_x,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START_x,HOUR_APPR_PROCESS_START_x,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,SK_ID_PREV,NAME_CONTRACT_TYPE_y,AMT_ANNUITY_y,AMT_APPLICATION,AMT_CREDIT_y,AMT_DOWN_PAYMENT,AMT_GOODS_PRICE_y,WEEKDAY_APPR_PROCESS_START_y,HOUR_APPR_PROCESS_START_y,FLAG_LAST_APPL_PER_CONTRACT,NFLAG_LAST_APPL_IN_DAY,RATE_DOWN_PAYMENT,RATE_INTEREST_PRIMARY,RATE_INTEREST_PRIVILEGED,NAME_CASH_LOAN_PURPOSE,NAME_CONTRACT_STATUS,DAYS_DECISION,NAME_PAYMENT_TYPE,CODE_REJECT_REASON,NAME_TYPE_SUITE_y,NAME_CLIENT_TYPE,NAME_GOODS_CATEGORY,NAME_PORTFOLIO,NAME_PRODUCT_TYPE,CHANNEL_TYPE,SELLERPLACE_AREA,NAME_SELLER_INDUSTRY,CNT_PAYMENT,NAME_YIELD_GROUP,PRODUCT_COMBINATION,DAYS_FIRST_DRAWING,DAYS_FIRST_DUE,DAYS_LAST_DUE_1ST_VERSION,DAYS_LAST_DUE,DAYS_TERMINATION,NFLAG_INSURED_ON_APPROVAL
0,100077,0,Cash loans,M,N,Y,0,180000.0,1256400.0,40657.5,900000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.072508,-12049,-579,-6105,-1,,1,1,0,1,0,0,Core staff,1,1,1,WEDNESDAY,12,0,0,0,0,0,0,Police,0.286783079,0.6473478220000001,0.562060483,0.1433,0.0993,0.9811,0.7416,0.0,0.16,0.1379,0.3333,0.375,0.0,0.1168,0.1367,0.0,0.0207,0.146,0.10300000000000001,0.9811,0.7517,0.0,0.1611,0.1379,0.3333,0.375,0.0,0.1276,0.1425,0.0,0.0219,0.1447,0.0993,0.9811,0.7451,0.0,0.16,0.1379,0.3333,0.375,0.0,0.1189,0.1392,0.0,0.0211,reg oper account,block of flats,0.1114,Panel,No,4.0,0.0,4.0,0.0,-295,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8.0,2670402,Cash loans,,0.0,0.0,,,Monday,14,Y,1,,,,XNA,Refused,-217,XNA,HC,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1,100124,0,Cash loans,M,N,Y,0,225000.0,448272.0,28647.0,396000.0,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,0.072508,-24051,365243,-7040,-4053,,1,0,0,1,1,1,,1,1,1,WEDNESDAY,17,0,0,0,0,0,0,XNA,,0.710317857,0.554946769,0.2959,0.1785,0.9786,0.7076,0.0,0.32,0.2759,0.3333,0.375,0.0,0.2412,0.2693,0.0,0.0061,0.3015,0.1853,0.9786,0.7190000000000001,0.0,0.3222,0.2759,0.3333,0.375,0.0,0.2635,0.2805,0.0,0.0064,0.2987,0.1785,0.9786,0.7115,0.0,0.32,0.2759,0.3333,0.375,0.0,0.2454,0.2741,0.0,0.0062,reg oper account,block of flats,0.2131,Panel,No,0.0,0.0,0.0,0.0,-1080,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,8.0,1986247,Consumer loans,7598.34,62491.5,62491.5,0.0,62491.5,Monday,20,Y,1,0.0,,,XAP,Approved,-312,Cash through the bank,XAP,Unaccompanied,Repeater,Mobile,POS,XNA,Country-wide,50,Connectivity,12.0,high,POS mobile with interest,365243.0,-278.0,52.0,-98.0,-94.0,0.0
2,100151,0,Cash loans,M,N,N,0,135000.0,182016.0,11772.0,144000.0,Unaccompanied,Commercial associate,Higher education,Single / not married,House / apartment,0.019101,-16522,-1451,-4101,-66,,1,1,0,1,0,0,Accountants,1,2,2,MONDAY,10,0,0,0,0,0,0,Business Entity Type 3,,0.695219137,0.7295666909999999,0.0567,0.0331,0.9791,0.7144,0.0208,0.04,0.0345,0.3333,0.375,0.0256,0.0454,0.0434,0.0039,0.0072,0.0578,0.0343,0.9791,0.7256,0.021,0.0403,0.0345,0.3333,0.375,0.0262,0.0496,0.0452,0.0039,0.0076,0.0573,0.0331,0.9791,0.7182,0.0209,0.04,0.0345,0.3333,0.375,0.0261,0.0462,0.0442,0.0039,0.0073,reg oper account,block of flats,0.0471,"Stone, brick",No,0.0,0.0,0.0,0.0,-398,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1614986,Cash loans,6535.8,45000.0,55075.5,,45000.0,Monday,13,Y,1,,,,XNA,Approved,-1041,Cash through the bank,XAP,Unaccompanied,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,12.0,high,Cash Street: high,365243.0,-1011.0,-681.0,-681.0,-672.0,1.0
3,100201,0,Cash loans,F,N,Y,1,180000.0,675000.0,36747.0,675000.0,Unaccompanied,Commercial associate,Higher education,Single / not married,House / apartment,0.035792000000000004,-12147,-2178,-6189,-1719,,1,1,0,1,0,0,Core staff,2,2,2,SATURDAY,10,0,0,0,0,0,0,Trade: type 2,0.764917188,0.601560374,0.35069584299999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,10.0,0.0,-1754,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,6.0,2227969,Consumer loans,3828.555,38610.0,29610.0,9000.0,38610.0,Monday,19,Y,1,0.253867345,,,XAP,Approved,-2424,Cash through the bank,XAP,Family,Repeater,Mobile,POS,XNA,Country-wide,31,Connectivity,10.0,high,POS mobile with interest,365243.0,-2393.0,-2123.0,-2123.0,-2120.0,0.0
4,100279,0,Cash loans,M,N,Y,0,180000.0,254700.0,16407.0,225000.0,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,0.072508,-23946,365243,-6935,-3948,,1,0,0,1,0,0,,1,1,1,WEDNESDAY,16,0,0,0,0,0,0,XNA,,0.458684569,0.528092751,0.3041,0.1854,0.9791,0.7144,0.0,0.32,0.2759,0.3333,0.0417,0.0,0.2412,0.281,0.0309,0.009000000000000001,0.3099,0.1924,0.9791,0.7256,0.0,0.3222,0.2759,0.3333,0.0417,0.0,0.2635,0.2928,0.0311,0.0096,0.3071,0.1854,0.9791,0.7182,0.0,0.32,0.2759,0.3333,0.0417,0.0,0.2454,0.2861,0.0311,0.0092,reg oper account,block of flats,0.223,Panel,No,0.0,0.0,0.0,0.0,-975,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,5.0,2034342,Cash loans,,0.0,0.0,,,Monday,19,Y,1,,,,XNA,Canceled,-382,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
5,100307,0,Cash loans,M,N,Y,0,225000.0,451804.5,35824.5,369000.0,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.01885,-16546,-1480,-2196,-7,,1,1,0,1,0,0,Managers,2,2,2,MONDAY,11,0,1,1,0,1,1,Military,0.5725847270000001,0.680321185,0.44896227299999997,0.2773,0.1882,0.9771,0.6872,,0.04,0.1724,0.3333,,,,0.2404,,0.0931,0.2826,0.1953,0.9772,0.6994,,0.0403,0.1724,0.3333,,,,0.2504,,0.0986,0.28,0.1882,0.9771,0.6914,,0.04,0.1724,0.3333,,,,0.2447,,0.0951,,block of flats,0.2093,,No,2.0,1.0,2.0,0.0,-745,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0,2685304,Cash loans,,0.0,0.0,,,Monday,15,Y,1,,,,XNA,Canceled,-144,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
6,100373,0,Cash loans,F,N,N,0,225000.0,906228.0,46269.0,810000.0,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.030755,-15013,-3282,-2347,-4823,,1,1,1,1,0,0,Core staff,2,2,2,FRIDAY,12,0,0,0,0,0,0,School,0.623530762,0.625709035,0.306202298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1053,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1891648,Consumer loans,10872.99,115695.0,115119.0,11569.5,115695.0,Monday,22,Y,1,0.09945841400000001,,,XAP,Approved,-1053,Cash through the bank,XAP,Unaccompanied,New,Medicine,POS,XNA,Stone,25,Industry,12.0,low_normal,POS household with interest,365243.0,-1013.0,-683.0,-713.0,-709.0,0.0
7,100425,0,Cash loans,F,Y,Y,2,90000.0,688500.0,20259.0,688500.0,Family,Working,Higher education,Married,House / apartment,0.025164,-12982,-2850,-3476,-5139,64.0,1,1,0,1,0,0,Core staff,4,2,2,SATURDAY,8,0,0,0,0,0,0,Kindergarten,0.34020573600000004,0.335586176,0.710674386,0.0082,0.0,0.9608,0.4628,0.0008,0.0,0.0345,0.0833,0.125,0.0086,0.0067,0.006,0.0,0.0,0.0084,0.0,0.9608,0.4838,0.0008,0.0,0.0345,0.0833,0.125,0.0088,0.0073,0.0063,0.0,0.0,0.0083,0.0,0.9608,0.47,0.0008,0.0,0.0345,0.0833,0.125,0.0087,0.0068,0.0061,0.0,0.0,reg oper account,block of flats,0.0082,Wooden,No,3.0,0.0,3.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1539382,Consumer loans,13410.27,120357.0,133065.0,0.0,120357.0,Monday,15,Y,1,0.0,,,XAP,Approved,-589,Cash through the bank,XAP,,Repeater,Consumer Electronics,POS,XNA,Country-wide,2226,Consumer electronics,12.0,middle,POS household with interest,365243.0,-558.0,-228.0,-378.0,-351.0,0.0
8,100527,0,Revolving loans,F,N,N,0,112500.0,270000.0,13500.0,270000.0,Unaccompanied,Commercial associate,Higher education,Civil marriage,House / apartment,0.026392000000000002,-9393,-992,-4145,-2081,,1,1,0,1,1,0,Accountants,2,2,2,WEDNESDAY,15,0,0,0,1,1,0,Bank,0.239312357,0.696209802,0.669056695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-187,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1921372,Consumer loans,5420.115,50890.5,40720.5,10170.0,50890.5,Monday,18,Y,1,0.217644836,,,XAP,Approved,-1507,Cash through the bank,XAP,Unaccompanied,New,Computers,POS,XNA,Country-wide,2326,Consumer electronics,10.0,high,POS household with interest,365243.0,-1475.0,-1205.0,-1205.0,-1200.0,0.0
9,100587,0,Cash loans,F,Y,Y,1,90000.0,117162.0,11718.0,103500.0,Family,Working,Secondary / secondary special,Widow,House / apartment,0.01885,-17999,-750,-5725,-1553,4.0,1,1,0,1,0,0,Cleaning staff,2,2,2,THURSDAY,14,0,0,0,0,0,0,School,,0.621191478,0.372333666,0.0608,0.0766,0.9801,0.728,0.0,0.0,0.1379,0.1667,0.2083,0.0,0.0471,0.0542,0.0116,0.0995,0.062,0.0795,0.9801,0.7387,0.0,0.0,0.1379,0.1667,0.2083,0.0,0.0514,0.0565,0.0117,0.1054,0.0614,0.0766,0.9801,0.7316,0.0,0.0,0.1379,0.1667,0.2083,0.0,0.0479,0.0552,0.0116,0.1016,reg oper spec account,block of flats,0.0643,Panel,No,0.0,0.0,0.0,0.0,-433,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,1465837,Cash loans,16632.405,135000.0,162315.0,,135000.0,Monday,14,Y,1,,,,XNA,Approved,-433,Cash through the bank,XAP,,Refreshed,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,12.0,middle,Cash X-Sell: middle,365243.0,-403.0,-73.0,-73.0,-67.0,1.0
